biziday.ro | FAILED | articles=
romania.europalibera.org | FAILED | articles=0
adevarul.ro | SUCCESS | articles=10
gov.ro | SUCCESS | articles=4
mediafax.ro | SUCCESS | articles=10
gandul.ro | SUCCESS | articles=8
digi24.ro | FAILED | articles=0
ziare.com | SUCCESS | articles=10
euronews.ro | SUCCESS | articles=7
hotnews.ro | TIMEOUT | articles=
stirileprotv.ro | TIMEOUT | articles=
evz.ro | SUCCESS | articles=10
agerpres.ro | SUCCESS | articles=10
antena3.ro | TIMEOUT | articles=
libertatea.ro | TIMEOUT | articles=
observatornews.ro | SUCCESS | articles=10
romaniatv.net | SUCCESS | articles=10
realitatea.net | SUCCESS | articles=10
jurnalul.ro | TIMEOUT | articles=
b1tv.ro | SUCCESS | articles=10
economica.net | SUCCESS | articles=10
romaniajournal.ro | FAILED | articles=
cursdeguvernare.ro | SUCCESS | articles=10
stiri.tvr.ro | FAILED | articles=
news.ro | SUCCESS | articles=10
pressone.ro | SUCCESS | articles=10
bizlawyer.ro | SUCCESS | articles=10
wall-street.ro | SUCCESS | articles=3
g4media.ro | SUCCESS | articles=10
capital.ro | SUCCESS | articles=10
profit.ro | TIMEOUT | articles=
qmagazine.ro | FAILED | articles=
spotmedia.ro | TIMEOUT | articles=
romania-insider.com | TIMEOUT | articles=
inpolitics.ro | SUCCESS | articles=4
agrointel.ro | SUCCESS | articles=10
forbes.ro | TIMEOUT | articles=
dcnews.ro | TIMEOUT | articles=
ziarulunirea.ro | SUCCESS | articles=10
activenews.ro | TIMEOUT | articles=
ziaruldevrancea.ro | SUCCESS | articles=3
adevarulfinanciar.ro | TIMEOUT | articles=
ziaruldeiasi.ro | SUCCESS | articles=8
monitorulcj.ro | TIMEOUT | articles=
banatulazi.ro | SUCCESS | articles=10
monitorulsv.ro | TIMEOUT | articles=
brasov.net | SUCCESS | articles=10
cluj24.ro | SUCCESS | articles=10
timisplus.ro | SUCCESS | articles=10
gds.ro | SUCCESS | articles=8
stiripesurse.ro | SUCCESS | articles=10
ziarulargesul.ro | SUCCESS | articles=8
observatorulph.ro | SUCCESS | articles=8
mesagerulneamt.ro | SUCCESS | articles=10
mesagerul.ro | FAILED | articles=
sibiulindependent.ro | FAILED | articles=
adevaruldeseara.ro | FAILED | articles=
ziarullumina.ro | TIMEOUT | articles=
ziarulamprenta.ro | SUCCESS | articles=10
botosaneanul.ro | SUCCESS | articles=10
sibiu100.ro | SUCCESS | articles=9
gorjeanul.ro | SUCCESS | articles=9
oradesibiu.ro | SUCCESS | articles=10
replicaonline.ro | SUCCESS | articles=10
telegrafonline.ro | TIMEOUT | articles=
stiriagricole.ro | SUCCESS | articles=2
gazetabt.ro | SUCCESS | articles=10
gazetadambovitei.ro | SUCCESS | articles=10
transilvaniareporter.ro | SUCCESS | articles=10
stiridinbanat.ro | SUCCESS | articles=10
aradon.ro | SUCCESS | articles=10
romanialibera.ro | FAILED | articles=
stirilekanald.ro | SUCCESS | articles=10
actualdecluj.ro | SUCCESS | articles=10
debanat.ro | SUCCESS | articles=10
clujcapitala.ro | TIMEOUT | articles=
bbc.co.uk | SUCCESS | articles=6
reuters.com | FAILED | articles=
bihon.ro | SUCCESS | articles=10
kanald.ro | SUCCESS | articles=10
curentul.info | SUCCESS | articles=10
washingtonpost.com | FAILED | articles=
puterea.ro | TIMEOUT | articles=
bloomberg.com | SUCCESS | articles=1
theguardian.com | TIMEOUT | articles=
ft.com | TIMEOUT | articles=
economist.com | TIMEOUT | articles=
apnews.com | TIMEOUT | articles=
cnn.com | TIMEOUT | articles=
nytimes.com | TIMEOUT | articles=
axios.com | SUCCESS | articles=9
politico.eu | TIMEOUT | articles=
politico.com | TIMEOUT | articles=
wired.com | SUCCESS | articles=10
theatlantic.com | TIMEOUT | articles=
theverge.com | TIMEOUT | articles=
techcrunch.com | SUCCESS | articles=10
businessinsider.com | TIMEOUT | articles=
forbes.com | TIMEOUT | articles=
